date,open,high,low,close,change,change_percentage,volume,short_selling,margin_trading,investment_trust,dealer,foreign_invenstor,ma,bband_up,bband_down
2011/6/23,74.7,74.9,73.8,74.2,-0.8,-1.07,70233.153,20,21516,-477,4534,-14648,75.77,78.11785008,73.42214992
2011/6/24,73.6,73.6,71.9,72.9,-1.3,-1.75,86769.132,0,20790,-489,2687,-24805,75.705,78.28374,73.12626
2011/6/27,72,72.1,71.6,72,-0.9,-1.23,65176.171,0,20591,632,3229,-9307,75.605,78.56707697,72.64292303
2011/6/28,72.1,72.6,71.8,72.5,0.5,0.69,101716.18,0,19710,-2502,9426,-30221,75.475,78.72822916,72.22177084
2011/6/29,70.9,72.1,70.4,71.4,-1.1,-1.52,93105.765,1577,21238,-416,-5150,15558,75.21,78.86015068,71.55984932
2011/6/30,71.4,72.2,71.3,72.2,0.8,1.12,48913.227,1879,21192,-196,-2178,7227,74.97,78.74682406,71.19317594
2011/7/1,72.2,73,72,72.8,0.6,0.83,41924.811,2784,20613,-307,-685,5963,74.79,78.61983028,70.96016972
2011/7/4,73.9,73.9,73.1,73.5,0.7,0.96,44330.249,3572,20483,-435,-1723,15058,74.605,78.30660776,70.90339224
2011/7/5,73.2,73.3,72.4,73.2,-0.3,-0.41,39009.29,2902,21105,-3726,-1260,3662,74.39,77.88794225,70.89205775
2011/7/6,73.2,73.4,72.5,72.8,-0.4,-0.55,43443.966,3180,21740,-2416,-910,-1467,74.155,77.40859801,70.90140199
2011/7/7,72.1,72.3,71.5,71.6,-1.2,-1.65,47743.268,2738,22704,-2570,2760,-12256,73.89,77.06861605,70.71138395
2011/7/8,72.1,72.8,72,72.5,0.9,1.26,52961.93,3714,22008,-5053,-3695,30585,73.75,76.91449048,70.58550952
2011/7/11,72.6,72.6,70.2,71.3,-1.2,-1.66,52112.506,3195,24081,-3258,478,-12654,73.58,76.88430023,70.27569977
2011/7/12,70.6,70.8,70.1,70.3,-1,-1.4,40008.149,3324,24877,-1707,1820,-8147,73.285,76.65384253,69.91615747
2011/7/13,70.5,72.5,70.1,72.2,1.9,2.7,69109.535,5283,21738,20,2358,26709,73.045,75.97653543,70.11346457
2011/7/14,70.5,71.4,70.1,70.7,-1.5,-2.08,54411.654,4059,24672,-1685,4122,-33566,72.805,75.67865621,69.93134379
2011/7/15,70,70.2,69.5,69.9,-0.8,-1.13,89121.604,2925,28404,-1536,5016,-57302,72.59,75.65130691,69.52869309
2011/7/18,69.7,70.2,69.4,69.7,-0.2,-0.29,37965.672,2738,28245,965,2770,-15483,72.33,75.4451886,69.2148114
2011/7/19,69.6,69.8,68.5,68.5,-1.2,-1.72,57459.752,2960,31205,-578,1590,-27295,71.96,75.04894804,68.87105196
2011/7/20,69.7,71.7,69.4,71.6,3.1,4.53,58272.255,3993,27290,-3241,159,25359,71.79,74.5474626,69.0325374
2011/7/21,71.4,71.6,70.6,71.6,0,0,33277.022,4175,26849,-939,-512,1180,71.66,74.18618289,69.13381711
2011/7/22,72.4,72.4,71.7,72,0.4,0.56,38243.895,4664,24852,-204,-821,13860,71.615,74.08261018,69.14738982
2011/7/25,72.4,72.5,71.4,72,0,0,34963.097,4441,24062,-398,-1427,19224,71.615,74.08261018,69.14738982
2011/7/26,72.3,73.7,72.3,73.7,1.7,2.36,53159.077,5012,21780,858,-1023,27101,71.675,74.28028309,69.06971691
2011/7/27,73.7,73.9,73,73.4,-0.3,-0.41,45636.42,5303,21178,1759,-1090,10496,71.775,74.48193554,69.06806446
2011/7/28,72.8,73.4,72.3,73,-0.4,-0.54,33720.583,5171,20785,-1342,-1422,6441,71.815,74.56910603,69.06089397
2011/7/29,71.8,72.4,71.3,72,-1,-1.37,60692.921,4868,20455,-48,-699,-6496,71.775,74.49373132,69.05626868
2011/8/1,72,72.8,72,72.6,0.6,0.83,41138.861,5006,19739,173,629,11300,71.73,74.36142547,69.09857453
2011/8/2,72,72.1,71.2,71.4,-1.2,-1.65,33521.052,4621,20579,-729,-5,-3656,71.64,74.18589866,69.09410134
2011/8/3,70.1,70.5,69.8,70.1,-1.3,-1.82,46025.696,4111,22211,-2906,3028,-6462,71.505,74.07675038,68.93324962
2011/8/4,69.6,70.7,69.6,70,-0.1,-0.14,45103.688,4416,22850,134,3682,-3371,71.425,74.07820561,68.77179439
2011/8/5,66,68,66,66.6,-3.4,-4.86,89690.635,3873,22588,1606,6439,-38273,71.13,74.46412657,67.79587343
2011/8/8,66,67.4,64,65.2,-1.4,-2.1,97536.001,3221,25484,2010,6678,-45154,70.825,75.04062569,66.60937431
2011/8/9,62.5,65.1,62.2,63.3,-1.9,-2.91,116036.463,2584,28656,1113,8466,-66853,70.475,75.81836037,65.13163963
2011/8/10,65.1,67,65,65.8,2.5,3.95,109804.248,2390,29422,2435,1436,-36847,70.155,75.80459291,64.50540709
2011/8/11,64.6,66.8,64,66.4,0.6,0.91,54377.64,2670,27999,427,1161,-1588,69.94,75.81312523,64.06687477
2011/8/12,67.2,67.6,65.1,65.1,-1.3,-1.96,64348.977,2660,28697,247,-2816,-12780,69.7,75.94083328,63.45916672
2011/8/15,66.9,66.9,65.9,66.8,1.7,2.61,40240.365,2753,27264,-436,-785,6388,69.555,75.92256625,63.18743375
2011/8/16,66.8,66.8,66,66,-0.8,-1.2,39029.009,2781,27401,17,-838,-4260,69.43,75.97128428,62.88871572
2011/8/17,66,66.2,65.3,65.8,-0.2,-0.3,35881.176,3110,27887,-475,-127,-1384,69.14,75.78421553,62.49578447
2011/8/18,65.8,65.8,63.3,64.4,-1.4,-2.13,73320.125,3134,29773,534,266,-24536,68.78,75.62911673,61.93088327
2011/8/19,63.1,63.9,63,63.9,-0.5,-0.78,49269.207,3037,28202,-269,1246,7852,68.375,75.37096312,61.37903688
2011/8/22,63.6,65.5,63,65,1.1,1.72,46371.719,3600,26483,1688,3917,8596,68.025,74.96066868,61.08933132
2011/8/23,65,67.1,65,66.8,1.8,2.77,46548.145,4052,24681,625,3273,16874,67.68,74.12099371,61.23900629
2011/8/24,67.7,67.7,66.4,67.5,0.7,1.05,50480.441,4618,24313,1551,-170,3403,67.385,73.26726997,61.50273003
2011/8/25,67.4,67.6,66.4,67,-0.5,-0.74,30883.139,4922,23521,-880,388,5321,67.085,72.37320385,61.79679615
2011/8/26,67.1,68.3,67,67.9,0.9,1.34,40513.405,5598,22692,1045,1204,10824,66.88,71.68607948,62.07392052
2011/8/29,68.6,69.9,68.1,69.4,1.5,2.21,38635.07,6574,20646,4006,864,14026,66.72,70.92979809,62.51020191
2011/8/30,70.3,70.3,68.6,69,-0.4,-0.58,33757.478,5880,21197,1722,-485,-1970,66.6,70.38470607,62.81529393
2011/8/31,69.1,69.4,67.8,69.4,0.4,0.58,47789.802,5281,22968,-372,-491,-2586,66.565,70.23066501,62.89933499
2011/9/1,69.4,69.8,68.6,68.6,-0.8,-1.15,47994.636,5575,21510,933,-3083,13630,66.495,69.94259336,63.04740664
2011/9/2,69.5,69.5,67.1,67.5,-1.1,-1.6,44964.008,5095,24891,566,-254,-18857,66.54,70.01528416,63.06471584
2011/9/5,66.1,67.1,65.9,66.6,-0.9,-1.33,49912.276,4489,26693,777,-742,-11426,66.61,70.0304678,63.1895322
2011/9/6,66.5,67.2,66.1,66.1,-0.5,-0.75,40850.716,4512,27637,493,836,-6109,66.75,69.82928563,63.67071437
2011/9/7,67,68.6,66.8,68.6,2.5,3.78,40117.11,4659,25627,3165,2284,10321,66.89,70.03763403,63.74236597
2011/9/8,69.6,69.6,68.4,68.7,0.1,0.15,43046.405,5118,23882,5035,-1101,1760,67.005,70.23948605,63.77051395
